transaction_id,date,customer_id,product_name,category,quantity,unit_price,total_amount,customer_segment,store_location
TXN057,2024-02-17,CUST033,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN058,2024-02-18,CUST034,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN059,2024-02-18,CUST034,Resistance Bands,Fitness,1,24.99,24.99,Fitness Focused,Store C
TXN060,2024-02-19,CUST035,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN061,2024-02-20,CUST036,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN062,2024-02-21,CUST037,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store C
TXN063,2024-02-22,CUST038,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN064,2024-02-22,CUST038,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store A
TXN065,2024-02-23,CUST039,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store B
TXN066,2024-02-24,CUST040,Desk Organizer,Office Supplies,1,22.99,22.99,Occasional Buyers,Store C
TXN067,2024-02-25,CUST041,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store A
TXN068,2024-02-25,CUST041,Phone Charger,Electronics,1,19.99,19.99,Tech Enthusiasts,Store A
TXN069,2024-02-26,CUST042,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store B
TXN070,2024-02-27,CUST043,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store C
TXN071,2024-02-28,CUST044,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store A
TXN072,2024-03-01,CUST045,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN073,2024-03-02,CUST046,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN074,2024-03-02,CUST046,Milk Frother,Appliances,1,34.99,34.99,Home & Office,Store C
TXN075,2024-03-03,CUST047,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN076,2024-03-04,CUST048,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN077,2024-03-05,CUST049,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN078,2024-03-05,CUST049,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN079,2024-03-06,CUST050,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN080,2024-03-07,CUST001,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN081,2024-03-08,CUST002,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN082,2024-03-09,CUST003,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN083,2024-03-10,CUST004,Desk Lamp,Furniture,1,45.99,45.99,Home & Office,Store B
TXN084,2024-03-11,CUST005,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store C
TXN085,2024-03-12,CUST006,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store A
TXN086,2024-03-13,CUST007,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store B
TXN087,2024-03-14,CUST008,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN088,2024-03-15,CUST009,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store A
TXN089,2024-03-16,CUST010,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store B
TXN090,2024-03-17,CUST011,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store C
TXN091,2024-03-18,CUST012,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store A
TXN092,2024-03-19,CUST013,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store B
TXN093,2024-03-20,CUST014,Yoga Mat,Fitness,1,35.99,35.99,Fitness Focused,Store C
TXN094,2024-03-21,CUST015,Kitchen Scale,Appliances,1,29.99,29.99,Occasional Buyers,Store A
TXN095,2024-03-22,CUST016,Office Chair,Furniture,1,299.99,299.99,Home & Office,Store B
TXN096,2024-03-23,CUST017,Wireless Headphones,Electronics,1,89.99,89.99,Tech Enthusiasts,Store C
TXN097,2024-03-24,CUST018,Coffee Maker,Appliances,1,129.99,129.99,Home & Office,Store A
TXN098,2024-03-25,CUST019,Running Shoes,Fitness,1,119.99,119.99,Fitness Focused,Store B
TXN099,2024-03-26,CUST020,Bluetooth Speaker,Electronics,1,59.99,59.99,Tech Enthusiasts,Store C
TXN100,2024-03-27,CUST021,Water Bottle,Fitness,1,19.99,19.99,Fitness Focused,Store A
